id,name,birth_canton,lat,long,wikidata_uri
0,Frienisberg,BE,47.02734,7.33101,https://www.wikidata.org/wiki/Q1464603
1,Lichtensteig,SG,47.32381,9.08758,https://www.wikidata.org/wiki/Q22425811
2,St. Gallen,SG,47.423333333333,9.3772222222222,https://www.wikidata.org/wiki/Q25607
3,Solothurn,SO,47.208055555556,7.5375,https://www.wikidata.org/wiki/Q68965
4,Isenfluh,BE,,,
5,La Chaux-de-Fonds,NE,47.099627777778,6.8295583333333,https://www.wikidata.org/wiki/Q68124
6,Bottens,VD,,,
7,Montreux,VD,,,
8,Meilen,ZH,,,
9,Visp,VS,46.292222222222,7.8827777777778,https://www.wikidata.org/wiki/Q64147
10,Zurich,ZH,,,
11,Quinto,TI,,,
12,Gresso,TI,,,
13,Sorengo,TI,,,
14,Neuchâtel,NE,46.990277777778,6.9305555555556,https://www.wikidata.org/wiki/Q69345
15,Wädenswil,ZH,47.230277777778,8.6722222222222,https://www.wikidata.org/wiki/Q69718
16,Hamburg,Etranger,53.55,10,https://www.wikidata.org/wiki/Q1055
17,Bâle,BS,,,
18,Bielefeld,Etranger,52.016666666667,8.5333333333333,https://www.wikidata.org/wiki/Q2112
19,Wil,SG,47.466388888889,9.0497222222222,https://www.wikidata.org/wiki/Q64077
20,Geneva,GE,46.2,6.15,https://www.wikidata.org/wiki/Q71
21,Lucerne,LU,47.0523,8.3059,https://www.wikidata.org/wiki/Q4191
22,Sissach,BL,47.46408,7.80888,https://www.wikidata.org/wiki/Q22631389
23,Alsace,Etranger,,,
24,Gerliswil,LU,47.0775,8.27388889,https://www.wikidata.org/wiki/Q99437739
25,Nyon,VD,46.38196166666667,6.23888,https://www.wikidata.org/wiki/Q64027
26,Frauenfeld,TG,,,
27,Arbon,TG,,,
28,Turin,Etranger,,,
29,Heerbrugg,SG,47.416666666667,9.6166666666667,https://www.wikidata.org/wiki/Q486284
30,Büren,SO,,,
31,Hütten,ZH,,,
32,Coire,GR,,,
33,Winterthur,ZH,47.4992,8.72671,https://www.wikidata.org/wiki/Q9125
34,Laufen,BE,,,
35,Emmen,LU,,,
36,Olten,SO,,,
37,Petit-Saconnex,GE,46.22427,6.12076,https://www.wikidata.org/wiki/Q3225401
38,Sarnen,OW,46.896944444444,8.2469444444444,https://www.wikidata.org/wiki/Q63964
39,Schaffhausen,SH,47.69653,8.63386,https://www.wikidata.org/wiki/Q9009
40,District 4,ZH,47.375,8.527,https://www.wikidata.org/wiki/Q677133
41,Montréal,Etranger,,,
42,Zürich,ZH,,,
43,Fluntern,ZH,,,
44,Frankfurt,Etranger,50.11055555555556,8.682222222222222,https://www.wikidata.org/wiki/Q1794
45,Francfort,Etranger,,,
46,Sainte-Croix,VD,,,
47,Rio de Janeiro,Etranger,-22.91111111111111,-43.205555555555556,https://www.wikidata.org/wiki/Q8678
48,Sevgein,GR,46.76553,9.21998,https://www.wikidata.org/wiki/Q65703
49,Freiburg im Breisgau,Etranger,47.995,7.85,https://www.wikidata.org/wiki/Q2833
50,Hauptwil,TG,,,
51,Berne,BE,,,
52,Füllinsdorf,BL,47.50688,7.73129,https://www.wikidata.org/wiki/Q22619754
